company_name,employee_structure
Speed Routes Trains,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee:P2f63]"
InnoWare Wireless,"[Owner, Manager, Manager:P8e95, Employee, Employee, Employee, Employee, Employee]"
InstitutePlace University,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Drive Trails Motors,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
SoundBeat Games,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
HealthCare Care,"[Owner:P51c8, Manager, Manager, Employee, Employee, Employee, Employee:P3f61, Employee]"
CapitalVault Lend,"[Owner, Manager, Manager, Employee:P4f5e, Employee, Employee, Employee, Employee]"
Yum Dine Craft,"[Owner, Manager:P2b9f, Manager, Employee:P45c4, Employee, Employee, Employee:Pebce, Employee]"
CineQuest Pastime,"[Owner, Manager, Manager, Employee:P3017, Employee, Employee:P72d0, Employee, Employee:P11b9]"
School Center School,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Art Quest Joy,"[Owner:Pe4d9, Manager, Manager, Employee, Employee:P66ef, Employee, Employee, Employee]"
JourneyPath Shuttle,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee:Pe8f5, Employee]"
Explore Escape Home,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
SpeedPath Boating,"[Owner, Manager:Pea0f, Manager:P26bd, Employee:P4f71, Employee:Pdb22, Employee, Employee:P9005, Employee]"
Academy Institution Learning,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
CodeSystems ISP,"[Owner:P99e6, Manager, Manager, Employee, Employee, Employee, Employee, Employee:Pb8fa]"
Move Move,"[Owner, Manager:Pc560, Manager, Employee, Employee:P53f5, Employee, Employee:Pa1c6, Employee]"
Educate University,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
DineroEdge Trust,"[Owner, Manager, Manager, Employee, Employee, Employee:Pb929, Employee:P589a, Employee]"
LogicSolutions Hub,"[Owner, Manager, Manager:P8ab5, Employee, Employee, Employee, Employee:P9263, Employee]"
Institute Public,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
TechSync Connect,"[Owner, Manager, Manager, Employee:P5610, Employee:Pa33c, Employee, Employee, Employee]"
City Wagon Repair,"[Owner, Manager, Manager, Employee, Employee:Pf788, Employee, Employee, Employee]"
Care Med Special,"[Owner:P8a43, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
JourneyRoutes Express,"[Owner, Manager:P2dda, Manager, Employee, Employee, Employee, Employee:P9faa, Employee]"
DineroWise Wealth,"[Owner:P40ce, Manager, Manager:Pfb56, Employee:Pa794, Employee, Employee, Employee:P27d3, Employee]"
TourEscape Services,"[Owner, Manager, Manager, Employee:P7e87, Employee:P2cda, Employee, Employee:P311f, Employee]"
Capital Wise Finance,"[Owner, Manager:P59c6, Manager, Employee, Employee, Employee, Employee, Employee]"
Circuit Hub Hub,"[Owner:P6761, Manager, Manager, Employee, Employee, Employee, Employee:P1ac2, Employee:P95c1]"
ShopHub Build,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Rehab Care Senior,"[Owner, Manager, Manager, Employee:Pfeea, Employee, Employee, Employee, Employee]"
Health Care Rehab,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Fund Wise Bank,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee:P6a31, Employee]"
YumCuisine Wheels,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
CircuitHub Hub,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Doc Care Care,"[Owner, Manager, Manager, Employee:P7a9a, Employee:Pb5ba, Employee, Employee, Employee]"
Rehab Wellness Medical,"[Owner, Manager, Manager, Employee, Employee:P0a35, Employee, Employee, Employee]"
Commute Routes Ships,"[Owner, Manager, Manager, Employee, Employee:Pd893, Employee:Pb177, Employee, Employee:P69b2]"
WealthEdge Wealth,"[Owner, Manager, Manager:P6133, Employee, Employee, Employee:P169f, Employee, Employee]"
Stay Escape Discover,"[Owner, Manager, Manager:P9b0f, Employee, Employee, Employee, Employee, Employee:Pccdd]"
A Taste ofBite Sips,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Stay Getaway World,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Med Med Medical,"[Owner, Manager:Paba6, Manager, Employee:P1ee0, Employee, Employee, Employee, Employee]"
InvestVault Mortgage,"[Owner, Manager, Manager, Employee, Employee, Employee:Pc4e9, Employee, Employee]"
CruiseEscape Inn,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee:P92b6]"
RouteRoutes Move,"[Owner:P1a34, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
TransitRoutes Air,"[Owner, Manager, Manager, Employee, Employee:Paee9, Employee, Employee, Employee:P98f7]"
Well Life Med,"[Owner, Manager, Manager, Employee, Employee, Employee:P8016, Employee, Employee:P3650]"
Well Med Special,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
YumSip Feast,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
CommuteRoutes Taxi,"[Owner, Manager, Manager, Employee, Employee, Employee:P4fed, Employee, Employee:P1f00]"
SpeedPath Dealership,"[Owner:P4bfc, Manager, Manager, Employee, Employee, Employee:P5802, Employee:P1c7a, Employee]"
Study Campus High,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
FundEdge Finance,"[Owner, Manager:Pf619, Manager, Employee:P9f73, Employee, Employee:Pe923, Employee:P0450, Employee]"
Move Ways Rides,"[Owner:Pbdb9, Manager, Manager, Employee, Employee:Padad, Employee, Employee, Employee]"
LogicSystems Connect,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
CommutePath Freight,"[Owner, Manager, Manager, Employee, Employee, Employee:P1dd3, Employee, Employee:Pcd9f]"
Yum Sip Mobile,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee:P3b53]"
A Taste ofDine Cuisine,"[Owner, Manager, Manager, Employee, Employee, Employee:P066e, Employee:Pd917, Employee]"
