company_name,founded,industry,sub_industry,num_employees_hired,website,main_phone
Speed Routes Trains,2064,Transportation,Train,1,kttp://www.speedroutestrains.com,Work: (833) 732-7068
InnoWare Wireless,2087,Technology,Mobile Providers,1,kttps://www.innowarewireless.com,Work: (948) 856-6171
InstitutePlace University,2097,Education,University, ,kttps://www.instituteplaceuniversity.com,Work: (859) 427-4158
Drive Trails Motors,2003,Automotive,Dealership, ,kttp://www.drivetrailsmotors.com,Work: (656) 333-9647
SoundBeat Games,2098,Entertainment,Gaming, ,kttp://www.soundbeatgames.com,Work: (679) 294-3234
HealthCare Care,2092,Healthcare,Pharmaceutical,2,kttp://www.healthcarecare.com,Work: (519) 925-2488
CapitalVault Lend,2098,Finance,Loans / Mortgage Lender,1,kttp://www.capitalvaultlend.com,Work: (152) 767-7996
Yum Dine Craft,2066,Food and Beverage,Beverage Manufacture,3,kttp://www.yumdinecraft.com,Work: (857) 992-2519
CineQuest Pastime,2098,Entertainment,Hobbies,3,kttp://www.cinequestpastime.com,Work: (614) 653-3303
School Center School,2088,Education,Technical / Trade School, ,kttp://www.schoolcenterschool.com,Work: (864) 386-3333
Art Quest Joy,2019,Entertainment,Hobbies,2,kttp://www.artquestjoy.com,Work: (803) 453-4281
JourneyPath Shuttle,2088,Transportation,Bus,1,kttp://www.journeypathshuttle.com,Work: (377) 103-7272
Explore Escape Home,2087,Hospitality,Private House Rental, ,kttp://www.exploreescapehome.com,Work: (712) 331-2785
SpeedPath Boating,2090,Transportation,Boat,5,kttp://www.speedpathboating.com,Work: (414) 973-7437
Academy Institution Learning,2080,Education,Community College, ,kttp://www.academyinstitutionlearning.com,Work: (867) 462-1851
CodeSystems ISP,2037,Technology,Internet Service Providers,2,kttp://www.codesystemsisp.com,Work: (954) 620-3861
Move Move,2099,Transportation,Relocation,3,kttps://www.movemove.com,Work: (507) 561-0219
Educate University,2093,Education,University, ,kttp://www.educateuniversity.com,Work: (238) 926-0861
DineroEdge Trust,2098,Finance,Bank,2,kttp://www.dineroedgetrust.com,Work: (507) 238-7930
LogicSolutions Hub,2086,Technology,Social Media,2,kttp://www.logicsolutionshub.com,Work: (909) 881-5268
Institute Public,2095,Education,Public 10-12, ,kttps://www.institutepublic.com,Work: (147) 726-6245
TechSync Connect,2075,Technology,Internet Service Providers,2,kttps://www.techsyncconnect.com,Work: (904) 628-5228
City Wagon Repair,2096,Automotive,Mechanic,1,kttp://www.citywagonrepair.com,Work: (822) 623-2932
Care Med Special,2074,Healthcare,Specialized Clinics,1,kttps://www.caremedspecial.com,Work: (784) 605-9842
JourneyRoutes Express,2099,Transportation,Train,2,kttps://www.journeyroutesexpress.com,Work: (632) 435-6031
DineroWise Wealth,2094,Finance,Investment Firm,4,kttps://www.dinerowisewealth.com,Work: (707) 301-7927
TourEscape Services,2098,Hospitality,Cleaning Services,3,kttps://www.tourescapeservices.com,Work: (369) 117-6026
Capital Wise Finance,2088,Finance,Bank,1,kttp://www.capitalwisefinance.com,Work: (331) 536-5415
Circuit Hub Hub,2094,Technology,Community,3,kttps://www.circuithubhub.com,Work: (208) 749-2294
ShopHub Build,2096,Retail,Hardware, ,kttp://www.shophubbuild.com,Work: (131) 247-8455
Rehab Care Senior,2092,Healthcare,Elderly Care,1,kttp://www.rehabcaresenior.com,Work: (227) 454-7589
Health Care Rehab,2092,Healthcare,Rehabilitation, ,kttps://www.healthcarerehab.com,Work: (345) 556-0678
Fund Wise Bank,2098,Finance,Bank,1,kttp://www.fundwisebank.com,Work: (193) 681-0430
YumCuisine Wheels,2099,Food and Beverage,Food Truck, ,kttps://www.yumcuisinewheels.com,Work: (694) 855-3019
CircuitHub Hub,2091,Technology,Social Media, ,kttp://www.circuithubhub.com,Work: (349) 163-0632
Doc Care Care,2099,Healthcare,Pharmaceutical,2,kttp://www.doccarecare.com,Work: (253) 784-3118
Rehab Wellness Medical,2098,Healthcare,Hospital,1,kttp://www.rehabwellnessmedical.com,Work: (291) 233-5983
Commute Routes Ships,2030,Transportation,Boat,3,kttp://www.commuteroutesships.com,Work: (801) 867-5937
WealthEdge Wealth,2096,Finance,Investment Firm,2,kttp://www.wealthedgewealth.com,Work: (647) 753-3700
Stay Escape Discover,2090,Hospitality,Other,2,kttps://www.stayescapediscover.com,Work: (868) 586-0951
A Taste ofBite Sips,2038,Food and Beverage,Drinks, ,kttps://www.atasteofbitesips.com,Work: (846) 909-5207
Stay Getaway World,2098,Hospitality,Theme Park, ,kttps://www.staygetawayworld.com,Work: (672) 613-5790
Med Med Medical,2096,Healthcare,Hospital,2,kttps://www.medmedmedical.com,Work: (178) 547-9290
InvestVault Mortgage,2062,Finance,Loans / Mortgage Lender,1,kttps://www.investvaultmortgage.com,Work: (558) 468-3893
CruiseEscape Inn,2097,Hospitality,Hotels,1,kttp://www.cruiseescapeinn.com,Work: (237) 488-3297
RouteRoutes Move,2098,Transportation,Relocation,1,kttp://www.routeroutesmove.com,Work: (552) 111-0951
TransitRoutes Air,2087,Transportation,Airline,2,kttps://www.transitroutesair.com,Work: (392) 599-5786
Well Life Med,2098,Healthcare,Doctor,2,kttp://www.welllifemed.com,Work: (485) 935-9973
Well Med Special,2090,Healthcare,Specialized Clinics, ,kttp://www.wellmedspecial.com,Work: (161) 237-5179
YumSip Feast,2099,Food and Beverage,Catering, ,kttp://www.yumsipfeast.com,Work: (683) 803-9119
CommuteRoutes Taxi,2096,Transportation,Ride Sharing / Taxi,2,kttps://www.commuteroutestaxi.com,Work: (535) 527-9147
SpeedPath Dealership,2096,Automotive,Dealership,3,kttp://www.speedpathdealership.com,Work: (281) 587-6967
Study Campus High,2080,Education,Public 10-12, ,kttp://www.studycampushigh.com,Work: (742) 724-5120
FundEdge Finance,2084,Finance,Loans / Mortgage Lender,4,kttps://www.fundedgefinance.com,Work: (657) 591-0789
Move Ways Rides,2089,Transportation,Ride Sharing / Taxi,2,kttps://www.movewaysrides.com,Work: (943) 570-8196
LogicSystems Connect,2051,Technology,Community, ,kttp://www.logicsystemsconnect.com,Work: (579) 802-4833
CommutePath Freight,2098,Transportation,Shipping / Freight,2,kttp://www.commutepathfreight.com,Work: (423) 919-5556
Yum Sip Mobile,2098,Food and Beverage,Food Truck,1,kttps://www.yumsipmobile.com,Work: (443) 981-3034
A Taste ofDine Cuisine,2097,Food and Beverage,Catering,2,kttp://www.atasteofdinecuisine.com,Work: (828) 441-3340
LeisureJourney Adventures,2099,Hospitality,Other,2,kttp://www.leisurejourneyadventures.com,Work: (282) 756-3042
Select Mall Quick,2081,Retail,Convenience,3,kttps://www.selectmallquick.com,Work: (867) 994-6234
ExploreGetaway Rental,2067,Hospitality,Private House Rental, ,kttps://www.exploregetawayrental.com,Work: (826) 766-4720
City Path Shop,2060,Automotive,Mechanic,3,kttps://www.citypathshop.com,Work: (651) 983-9778
RelaxJourney Fix,2097,Hospitality,Repair,2,kttp://www.relaxjourneyfix.com,Work: (116) 411-3164
YumEats Events,2090,Food and Beverage,Catering,2,kttp://www.yumeatsevents.com,Work: (595) 580-4041
Story Chic E-Sports,2098,Entertainment,Gaming,4,kttps://www.storychice-sports.com,Work: (411) 822-0685
Star Reads,2096,Entertainment,Books,3,kttps://www.starreads.com,Work: (928) 972-6285
CapitalWise Trust,2097,Finance,Bank,1,kttp://www.capitalwisetrust.com,Work: (133) 907-8413
Relax Journey World,2096,Hospitality,Theme Park,3,kttp://www.relaxjourneyworld.com,Work: (445) 942-3188
EducateCenter School,2061,Education,Public 7-9,2,kttps://www.educatecenterschool.com,Work: (538) 415-1555
Circuit Ware Network,2005,Technology,Community,2,kttp://www.circuitwarenetwork.com,Work: (722) 166-2077
FinanceWise Capital,2085,Finance,Investment Firm,2,kttps://www.financewisecapital.com,Work: (643) 989-9158
Sound World Novels,2094,Entertainment,Books,1,kttps://www.soundworldnovels.com,Work: (437) 107-7796
Zoom Wagon Autos,2093,Automotive,Dealership,3,kttps://www.zoomwagonautos.com,Work: (114) 406-9039
EducateCampus School,2095,Education,Public 7-9, ,kttp://www.educatecampusschool.com,Work: (179) 807-2997
Move Express Nautical,2080,Transportation,Boat, ,kttp://www.moveexpressnautical.com,Work: (691) 804-7603
Sound World Sound,2098,Entertainment,Music,3,kttps://www.soundworldsound.com,Work: (828) 437-1711
StarChic Music,2096,Entertainment,Music, ,kttp://www.starchicmusic.com,Work: (258) 852-8059
LearnHub Primary,2084,Education,Public K-6,4,kttps://www.learnhubprimary.com,Work: (691) 739-2389
RouteRoutes Express,2088,Transportation,Courier / Delivery,4,kttps://www.routeroutesexpress.com,Work: (601) 226-4499
